keyword,coef_v1,coef_v2
playground,0.9034580886801704,0.8307936431491335
concrete repairs,0.7721853351791892,0.7016971779564412
roundabout,0.7251588880072722,0.6929761624156299
development,0.6694940028882911,0.6746740151176847
land,0.6990976496943612,0.6463226228316137
tennis,0.6814873813599859,0.6411085121675412
fencing,0.6439182393906511,0.6276036030132077
hcd,0.5907387693204836,0.6165612269959302
refurbishment,0.6202474441639875,0.5743183703090309
improvements,0.49506994730411025,0.561153365707992
facility,0.0,0.5463965750589288
barn,0.4987392220838801,0.5184711418930155
center,0.537614378533239,0.5160123643876464
pickleball,0.571086805814808,0.5064081211446816
site,0.5052944138698943,0.5054361846604443
leases,0.5337506547182734,0.5002193640841961
ocean,0.5271143885588564,0.48909703112847347
sidewalk,0.0,0.48707735611064107
ballistic,0.5290153272538806,0.48471471377321
sole,0.5241305146797797,0.46898826304123503
2027,0.5385329522646204,0.4657548309076405
description,0.515166187531375,0.46414650618783765
lane,0.4633123163031697,0.45550754013220385
lighting,0.0,0.4419985927737298
installation,0.0,0.4413750991991684
pressure,0.0,0.4409373185171246
hickory,0.45778959540847425,0.4391817370150832
community,0.0,0.4264416088138606
street,0.0,0.42105556451506976
trade,0.4585331705191967,0.41569630257889656
plaza,0.46582889223324964,0.0
maintenance,0.5333916760895725,0.0
signs,0.49809250437075514,0.0
district,0.4657900468978743,0.0
substation,0.45768417474508133,0.0
surfacing,0.5219730701020312,0.0
wayfinding,0.4902088793010917,0.0
