keyword,coef_v1,coef_v2
pump,1.2020658914967133,1.3119719650762494
water,1.3301230501141206,1.2647673568869597
pump station,1.1776865195765764,1.241511303999283
stormwater,1.0161437701349136,1.0699199822582965
treatment,1.2355984351945202,1.0329417759875812
lift,0.835814682115382,0.9403854749025985
lift station,0.7938266443070723,0.9040483159805976
station,0.7250821810691473,0.8774262753950187
landscaping,0.7232541264503158,0.8296517728388934
main,0.7936210595306008,0.7985339035919675
wastewater,0.8256964503213664,0.7922464224275133
sewer,0.6174610356168859,0.7679796750951154
wastewater treatment,0.6567570051460517,0.7596825987325013
force,0.6989982460167778,0.7548314828794427
water main,0.7629291165430774,0.7434380524178636
drainage,0.7623679946753682,0.7270344302662183
treatment plant,0.9969261042449473,0.7200814315780184
control,0.7967466085480949,0.693045834498426
force main,0.619379282780903,0.6670461350689659
improvements,0.61713468570963,0.6163164802847967
inch,0.7047895155319926,0.5646621264743207
golf course,0.0,0.5295007818699151
expansion,0.0,0.5280912140153822
06,0.5648827375263947,0.5270405808802231
single family,0.0,0.5235074717790017
occupied single,0.0,0.5193982991899723
improvement,0.0,0.515835244093118
occupied,0.0,0.5139352344430917
blvd,0.0,0.5117133518563707
environmental,0.0,0.510794352012582
sidewalk,0.6338389792850685,0.0
plant,0.7720890924366315,0.0
trail,0.601864256853369,0.0
palm,0.5269669079500464,0.0
hurricane,0.5298669997390018,0.0
hardening,0.8375074804769908,0.0
bridge,0.9340108045035758,0.0
water treatment,0.6801412014643742,0.0
