keyword,coef_v1,coef_v2
replacement,1.3343339148769853,1.414240901856366
renovations,1.2470147962889087,1.1268013177220169
fence,0.9698519487962659,1.0939801231325903
building,1.0611509645235406,1.0517282435154398
demolition,0.8744777366740186,0.9021079084645184
construction services,0.5716482804273041,0.8807983905268539
restroom,0.8313554890281352,0.8233293034713307
painting,0.7532843129664804,0.7680308031828725
services,0.4801916025055754,0.7000632259255924
roof replacement,0.614039955737739,0.6739287335935693
roofing,0.934537697998535,0.6649563901933715
annual contract,0.6599168533280697,0.62783225046721
roof,0.8784529058043798,0.6211083998813975
renovation,0.810897067191413,0.6035785069744392
prequalification annual,0.611875949169363,0.5832934614008775
door,0.6457138228927806,0.5825562329949845
construction,0.5632985804643376,0.5632225096572124
rehabilitation,0.5429865916752429,0.5569225938441854
flooring,0.7593243362228416,0.5396069974373646
qualification vendors,0.5378343161654413,0.5310508280247743
prequalification,0.5643596073694723,0.5212944561628485
impact,0.5029223957242654,0.493323215196684
impact windows,0.5042708325306654,0.48714974273876627
ncs,0.5132957283626008,0.482799372449983
ncs division,0.5132957283626008,0.482799372449983
remodel,0.47668124707028925,0.47798787324345415
manager risk,0.0,0.45407271357621715
continuing,0.0,0.44532193920121915
program ncs,0.0,0.44325632397983045
minor,0.5211491951892193,0.43627101528143714
repair replacement,0.4811523277920894,0.0
interior,0.4822891877939476,0.0
west,0.5025636422034889,0.0
