keyword,score,direction,dataset,model,label
construction rehabilitation,2.8003107030889485,positive,v2_mega,semantic,PURSUE
housing rehabilitation,2.626240912606641,positive,v2_mega,semantic,PURSUE
home replacement,2.417923188310676,positive,v2_mega,semantic,PURSUE
contractors replace,2.3666838942005035,positive,v2_mega,semantic,PURSUE
rehabilitation replacement,2.355649770079773,positive,v2_mega,semantic,PURSUE
replacement flooring,2.3282737854406528,positive,v2_mega,semantic,PURSUE
demolition replacement,2.3184909616268454,positive,v2_mega,semantic,PURSUE
contractor replace,2.2906564499074182,positive,v2_mega,semantic,PURSUE
residential rehabilitation,2.283230254889295,positive,v2_mega,semantic,PURSUE
door replacement,2.268017998014385,positive,v2_mega,semantic,PURSUE
services demolition,2.2479743675825214,positive,v2_mega,semantic,PURSUE
interior renovations,2.2430985834449992,positive,v2_mega,semantic,PURSUE
services rehabilitation,2.234682165236993,positive,v2_mega,semantic,PURSUE
construction demolition,2.228360282215202,positive,v2_mega,semantic,PURSUE
replacement services,2.1978612224955345,positive,v2_mega,semantic,PURSUE
door replacements,2.18903909478262,positive,v2_mega,semantic,PURSUE
doors replacement,2.187848811568422,positive,v2_mega,semantic,PURSUE
replacement roof,2.187123562113329,positive,v2_mega,semantic,PURSUE
floor replacement,2.1840143541744386,positive,v2_mega,semantic,PURSUE
interior renovation,2.1825751114376266,positive,v2_mega,semantic,PURSUE
rehabilitation construction,2.161920472638355,positive,v2_mega,semantic,PURSUE
rehabilitation home,2.1542680188318566,positive,v2_mega,semantic,PURSUE
fence replacement,2.1467347915178743,positive,v2_mega,semantic,PURSUE
construction renovation,2.118821641435011,positive,v2_mega,semantic,PURSUE
perform housing,2.1155391943575887,positive,v2_mega,semantic,PURSUE
building renovations,2.113773874055489,positive,v2_mega,semantic,PURSUE
contract demolition,2.0970836956792898,positive,v2_mega,semantic,PURSUE
flooring replacement,2.082763873734661,positive,v2_mega,semantic,PURSUE
demolition restoration,2.064884032830007,positive,v2_mega,semantic,PURSUE
ceiling removal,2.0627448323695137,positive,v2_mega,semantic,PURSUE
