keyword,coefficient,direction,version
replacement,1.3343339148769853,PURSUE,V1
renovations,1.2470147962889087,PURSUE,V1
building,1.0611509645235406,PURSUE,V1
fence,0.9698519487962659,PURSUE,V1
roofing,0.934537697998535,PURSUE,V1
roof,0.8784529058043798,PURSUE,V1
demolition,0.8744777366740186,PURSUE,V1
restroom,0.8313554890281352,PURSUE,V1
renovation,0.810897067191413,PURSUE,V1
flooring,0.7593243362228416,PURSUE,V1
painting,0.7532843129664804,PURSUE,V1
annual contract,0.6599168533280697,PURSUE,V1
door,0.6457138228927806,PURSUE,V1
roof replacement,0.614039955737739,PURSUE,V1
prequalification annual,0.611875949169363,PURSUE,V1
construction services,0.5716482804273041,PURSUE,V1
prequalification,0.5643596073694723,PURSUE,V1
construction,0.5632985804643376,PURSUE,V1
rehabilitation,0.5429865916752429,PURSUE,V1
qualification vendors,0.5378343161654413,PURSUE,V1
minor,0.5211491951892193,PURSUE,V1
ncs,0.5132957283626008,PURSUE,V1
ncs division,0.5132957283626008,PURSUE,V1
impact windows,0.5042708325306654,PURSUE,V1
impact,0.5029223957242654,PURSUE,V1
west,0.5025636422034889,PURSUE,V1
interior,0.4822891877939476,PURSUE,V1
repair replacement,0.4811523277920894,PURSUE,V1
services,0.4801916025055754,PURSUE,V1
remodel,0.47668124707028925,PURSUE,V1
improvements,-1.11220463301374,AGAINST,V1
water,-1.10634192793643,AGAINST,V1
treatment,-0.7770057161210866,AGAINST,V1
drainage,-0.5760284196097945,AGAINST,V1
treatment plant,-0.5619302647634719,AGAINST,V1
bridge,-0.5538979338603284,AGAINST,V1
pump,-0.5515510122883088,AGAINST,V1
pump station,-0.5290891943674995,AGAINST,V1
hardening,-0.5284148778183789,AGAINST,V1
artificial,-0.5254632344749767,AGAINST,V1
lift,-0.5210769709758324,AGAINST,V1
expansion,-0.5084036511079384,AGAINST,V1
sidewalk,-0.48916434564443634,AGAINST,V1
district,-0.4670739212919985,AGAINST,V1
development,-0.46298062022696423,AGAINST,V1
water treatment,-0.4536457545655424,AGAINST,V1
control,-0.45263547648370583,AGAINST,V1
landscaping,-0.4504430954078607,AGAINST,V1
installation,-0.4490099133588301,AGAINST,V1
concrete repairs,-0.44659043362569156,AGAINST,V1
regional,-0.4463784467014627,AGAINST,V1
sidewalks,-0.44009004626053827,AGAINST,V1
tank,-0.4364562720083866,AGAINST,V1
refurbishment,-0.4294640553985136,AGAINST,V1
site,-0.4273562546737973,AGAINST,V1
lift station,-0.42523153296579497,AGAINST,V1
identified,-0.4201563287987528,AGAINST,V1
flow,-0.41999397755984363,AGAINST,V1
river,-0.4190588607102282,AGAINST,V1
restoration,-0.41775852090562476,AGAINST,V1
replacement,1.414240901856366,PURSUE,V2
renovations,1.1268013177220169,PURSUE,V2
fence,1.0939801231325903,PURSUE,V2
building,1.0517282435154398,PURSUE,V2
demolition,0.9021079084645184,PURSUE,V2
construction services,0.8807983905268539,PURSUE,V2
restroom,0.8233293034713307,PURSUE,V2
painting,0.7680308031828725,PURSUE,V2
services,0.7000632259255924,PURSUE,V2
roof replacement,0.6739287335935693,PURSUE,V2
roofing,0.6649563901933715,PURSUE,V2
annual contract,0.62783225046721,PURSUE,V2
roof,0.6211083998813975,PURSUE,V2
renovation,0.6035785069744392,PURSUE,V2
prequalification annual,0.5832934614008775,PURSUE,V2
door,0.5825562329949845,PURSUE,V2
construction,0.5632225096572124,PURSUE,V2
rehabilitation,0.5569225938441854,PURSUE,V2
flooring,0.5396069974373646,PURSUE,V2
qualification vendors,0.5310508280247743,PURSUE,V2
prequalification,0.5212944561628485,PURSUE,V2
impact,0.493323215196684,PURSUE,V2
impact windows,0.48714974273876627,PURSUE,V2
ncs,0.482799372449983,PURSUE,V2
ncs division,0.482799372449983,PURSUE,V2
remodel,0.47798787324345415,PURSUE,V2
manager risk,0.45407271357621715,PURSUE,V2
continuing,0.44532193920121915,PURSUE,V2
program ncs,0.44325632397983045,PURSUE,V2
minor,0.43627101528143714,PURSUE,V2
improvements,-1.1774698459927886,AGAINST,V2
water,-1.0761052102357516,AGAINST,V2
treatment,-0.6728232403814877,AGAINST,V2
pump,-0.6280380271824749,AGAINST,V2
artificial,-0.5787705141069673,AGAINST,V2
landscaping,-0.5715466151309414,AGAINST,V2
pump station,-0.5659634125926352,AGAINST,V2
sidewalk,-0.561052769570443,AGAINST,V2
drainage,-0.5599710925560681,AGAINST,V2
center,-0.5477108156448512,AGAINST,V2
lift,-0.5473556544676802,AGAINST,V2
expansion,-0.5282989315156845,AGAINST,V2
site,-0.4850648910095122,AGAINST,V2
lift station,-0.4790162859396314,AGAINST,V2
stormwater,-0.4663944773300404,AGAINST,V2
development,-0.4605173130641751,AGAINST,V2
area,-0.45661946614815413,AGAINST,V2
wastewater,-0.4545127617482979,AGAINST,V2
installation,-0.44881314565895875,AGAINST,V2
control,-0.4349901514697874,AGAINST,V2
concrete,-0.42814240900526485,AGAINST,V2
project,-0.418498568568831,AGAINST,V2
flow,-0.4144020886522864,AGAINST,V2
concrete repairs,-0.4092978784546882,AGAINST,V2
refurbishment,-0.4087644034822091,AGAINST,V2
course,-0.39993108186607657,AGAINST,V2
identified,-0.3995466027109472,AGAINST,V2
base,-0.3966129288741355,AGAINST,V2
improvement,-0.38960393666515,AGAINST,V2
city,-0.38711384231707274,AGAINST,V2
