keyword,score,direction,dataset,model,label
water sewer,2.8395883319077475,positive,scope_only,semantic,DROP
stormwater drainage,2.814738599311794,positive,scope_only,semantic,DROP
sewer water,2.62189079072766,positive,scope_only,semantic,DROP
decking drains,2.525967548155852,positive,scope_only,semantic,DROP
storm drainage,2.464036085804871,positive,scope_only,semantic,DROP
gravity sewer,2.3606977328427687,positive,scope_only,semantic,DROP
stormwater pump,2.2660930846436607,positive,scope_only,semantic,DROP
gallons day,2.263475736512245,positive,scope_only,semantic,DROP
irrigation year,2.2417827265929087,positive,scope_only,semantic,DROP
water wastewater,2.1858204859742845,positive,scope_only,semantic,DROP
sewage pump,2.1809509934837465,positive,scope_only,semantic,DROP
clearwater issuing,2.159016272185913,positive,scope_only,semantic,DROP
stormwater pipes,2.153987222420331,positive,scope_only,semantic,DROP
storm water,2.1190635152674937,positive,scope_only,semantic,DROP
stormwater,2.1134676464331443,positive,scope_only,semantic,DROP
bridges water,2.090785365862966,positive,scope_only,semantic,DROP
proper drainage,2.0856165127392168,positive,scope_only,semantic,DROP
city stormwater,2.0810565824400618,positive,scope_only,semantic,DROP
enhance drainage,2.051856334788369,positive,scope_only,semantic,DROP
street drainage,2.0417362627086213,positive,scope_only,semantic,DROP
existing drainage,2.0363019269477403,positive,scope_only,semantic,DROP
drainage infrastructure,2.019946393081769,positive,scope_only,semantic,DROP
pipe culvert,2.0125668431571304,positive,scope_only,semantic,DROP
stormwater management,2.0084428012296835,positive,scope_only,semantic,DROP
sanitary sewer,1.9991351711844754,positive,scope_only,semantic,DROP
sewer,1.9950398155519034,positive,scope_only,semantic,DROP
installation drainage,1.982802542394099,positive,scope_only,semantic,DROP
drain,1.9826717401859448,positive,scope_only,semantic,DROP
water pipe,1.9653513426112004,positive,scope_only,semantic,DROP
drainage,1.9360260503555884,positive,scope_only,semantic,DROP
