keyword,coefficient,direction,dataset,model,label
replacement,1.313178187703374,positive,v1,tfidf,PURSUE
renovations,0.9790049650800908,positive,v1,tfidf,PURSUE
fence,0.9531793406963435,positive,v1,tfidf,PURSUE
roofing,0.9272240651412774,positive,v1,tfidf,PURSUE
roof,0.8845096418750791,positive,v1,tfidf,PURSUE
building,0.8659416542287811,positive,v1,tfidf,PURSUE
renovation,0.8344815215341008,positive,v1,tfidf,PURSUE
painting,0.6724788959375428,positive,v1,tfidf,PURSUE
restroom,0.6484830509839806,positive,v1,tfidf,PURSUE
construction,0.6344811267398026,positive,v1,tfidf,PURSUE
annual contract,0.6317481572424508,positive,v1,tfidf,PURSUE
prequalification annual,0.6031099934396414,positive,v1,tfidf,PURSUE
flooring,0.5721278089567247,positive,v1,tfidf,PURSUE
door,0.53013575448419,positive,v1,tfidf,PURSUE
construction services,0.5258858556402126,positive,v1,tfidf,PURSUE
services,0.524048814409575,positive,v1,tfidf,PURSUE
roof replacement,0.522320941162328,positive,v1,tfidf,PURSUE
impact windows,0.5125676139095394,positive,v1,tfidf,PURSUE
impact,0.5088368027359909,positive,v1,tfidf,PURSUE
interior,0.5056854941837432,positive,v1,tfidf,PURSUE
minor,0.5001756165637234,positive,v1,tfidf,PURSUE
manager risk,0.48646304697623255,positive,v1,tfidf,PURSUE
repair replacement,0.4819301923644128,positive,v1,tfidf,PURSUE
kitchen,0.47784377564916647,positive,v1,tfidf,PURSUE
risk,0.47331656768066777,positive,v1,tfidf,PURSUE
remodel,0.46827582012172564,positive,v1,tfidf,PURSUE
demolition,0.4501169454754566,positive,v1,tfidf,PURSUE
rehabilitation program,0.44720551161768707,positive,v1,tfidf,PURSUE
program ncs,0.41770804737925227,positive,v1,tfidf,PURSUE
ncs division,0.41770804737925227,positive,v1,tfidf,PURSUE
