keyword,coefficient,direction,dataset,model,label
center,0.7371906421761604,positive,v1,tfidf,REVIEW
refurbishment,0.728685102176233,positive,v1,tfidf,REVIEW
playground,0.7037533276847113,positive,v1,tfidf,REVIEW
roundabout,0.7012248786551992,positive,v1,tfidf,REVIEW
tennis,0.6885925099994982,positive,v1,tfidf,REVIEW
concrete repairs,0.6768764016029303,positive,v1,tfidf,REVIEW
fencing,0.672366581647441,positive,v1,tfidf,REVIEW
development,0.6105880949042447,positive,v1,tfidf,REVIEW
land,0.600597292172732,positive,v1,tfidf,REVIEW
property,0.5889787763819346,positive,v1,tfidf,REVIEW
hcd,0.5752338534148028,positive,v1,tfidf,REVIEW
pavilion,0.565735954101514,positive,v1,tfidf,REVIEW
sole,0.5578930110482698,positive,v1,tfidf,REVIEW
leases,0.5467815390777755,positive,v1,tfidf,REVIEW
maintenance,0.5298023385674424,positive,v1,tfidf,REVIEW
ocean,0.528564377682906,positive,v1,tfidf,REVIEW
repair,0.5281553242213983,positive,v1,tfidf,REVIEW
park,0.5246726872753726,positive,v1,tfidf,REVIEW
lane,0.523296512821877,positive,v1,tfidf,REVIEW
ballistic,0.523265777669153,positive,v1,tfidf,REVIEW
trade,0.5071693358006443,positive,v1,tfidf,REVIEW
pickleball,0.5063345948868965,positive,v1,tfidf,REVIEW
description,0.5025519845141172,positive,v1,tfidf,REVIEW
barn,0.4756623589471386,positive,v1,tfidf,REVIEW
health,0.470917256971468,positive,v1,tfidf,REVIEW
inspection,0.4647587100533026,positive,v1,tfidf,REVIEW
site,0.4631945732378298,positive,v1,tfidf,REVIEW
hickory,0.45585890340615315,positive,v1,tfidf,REVIEW
district,0.45304939412200246,positive,v1,tfidf,REVIEW
acquisition,0.4475312872958308,positive,v1,tfidf,REVIEW
