keyword,score,direction,dataset,model,label
sidewalks trails,1.7740442791121143,positive,v2_mega,semantic,REVIEW
center scope,1.6900324228471773,positive,v2_mega,semantic,REVIEW
sidewalks driveways,1.6430091497150165,positive,v2_mega,semantic,REVIEW
outlined scope,1.5851372608952763,positive,v2_mega,semantic,REVIEW
loop road,1.562777691735655,positive,v2_mega,semantic,REVIEW
covering vehicles,1.5379988962008433,positive,v2_mega,semantic,REVIEW
laser grade,1.5006106765985423,positive,v2_mega,semantic,REVIEW
consultants provide,1.4993071602034918,positive,v2_mega,semantic,REVIEW
playground equipment,1.4881556612563804,positive,v2_mega,semantic,REVIEW
attached scope,1.486643362793544,positive,v2_mega,semantic,REVIEW
sidewalk driveways,1.4645441406559936,positive,v2_mega,semantic,REVIEW
asphalt driveway,1.4276301047221038,positive,v2_mega,semantic,REVIEW
scopes,1.4220357735689846,positive,v2_mega,semantic,REVIEW
desires secure,1.378722653372182,positive,v2_mega,semantic,REVIEW
playground areas,1.3698264055996896,positive,v2_mega,semantic,REVIEW
policies activities,1.3640109095545494,positive,v2_mega,semantic,REVIEW
accessories,1.3622208893960013,positive,v2_mega,semantic,REVIEW
building scope,1.3578195887492583,positive,v2_mega,semantic,REVIEW
ballistic protection,1.3375441610216117,positive,v2_mega,semantic,REVIEW
roadways sidewalks,1.3357358121206921,positive,v2_mega,semantic,REVIEW
specific scope,1.3315477744751372,positive,v2_mega,semantic,REVIEW
activities including,1.3176411781572326,positive,v2_mega,semantic,REVIEW
infrared,1.317615038615758,positive,v2_mega,semantic,REVIEW
assessments,1.3164027319538865,positive,v2_mega,semantic,REVIEW
asphalt pavement,1.3127554503816903,positive,v2_mega,semantic,REVIEW
playgrounds,1.3113647041849956,positive,v2_mega,semantic,REVIEW
specified scope,1.3043848355317724,positive,v2_mega,semantic,REVIEW
scope project,1.3036148651712642,positive,v2_mega,semantic,REVIEW
scope specifications,1.3008280743593073,positive,v2_mega,semantic,REVIEW
lead items,1.2943848585498845,positive,v2_mega,semantic,REVIEW
